iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
249,1331376,17709,292576,954064,746,247945,384246,320031,38664
250,1169146,16265,186784,902938,584,179476,382108,339834,38664
251,910495,15966,240712,591107,524,178616,163977,247256,38664
252,583123,8672,132191,412223,217,177051,108341,126286,38664
253,933223,6613,120130,782973,168,189583,253367,339164,38664
254,1023621,15245,191229,761735,469,216909,260567,282669,38664
255,1173977,14283,232394,873005,595,262681,260633,348165,38664
256,1177646,14986,266760,839591,541,256038,271945,310460,38664
257,1142134,11602,206474,879646,457,269769,247390,361499,38664
258,1088363,11614,222798,809370,715,256377,239860,311886,38664
259,1066382,9531,195948,824168,412,243149,227166,352971,38664
260,897860,9468,196404,656441,368,245626,155840,254139,38664
261,888155,8735,188071,657992,365,243802,141981,271422,38664
262,948011,8505,187634,718287,500,243863,162935,310428,38664
263,980252,10748,210529,720106,629,246144,182933,289795,38664
264,1145948,10455,208310,885623,547,247274,246584,390460,38664
265,1166804,11315,213846,897143,634,246186,300826,348383,38664
266,1311242,23980,303517,904173,955,413227,219815,269023,38664
267,1372833,15209,259170,1039874,428,347798,217252,473540,38664
268,1172314,16273,249192,846509,593,248950,305923,289956,38664
269,1117876,17077,264839,769564,725,246542,250223,271164,38664
270,1293175,21851,283701,843476,693,294130,239499,308086,38664
271,863102,11945,181513,621231,547,188322,170128,261269,38664
272,1016628,14383,217636,734402,464,338650,175484,219001,38664
273,1193841,14156,224001,900546,473,323258,170175,405608,38664
274,998571,14100,186059,742941,385,177300,242533,321895,38664
275,1002702,15193,228328,704432,629,177981,274415,250389,38664
276,1051584,16838,232465,741866,566,281692,203514,255155,38664
277,1368299,17139,264639,825518,937,246528,288616,288315,38664
278,1215579,22167,316609,798981,845,408965,164310,223778,38664
279,1326500,17362,263289,981283,665,393033,227915,358449,38664
280,1279256,19209,267072,924735,592,332557,263947,326494,38664
281,1351507,21603,270748,982725,799,354277,307872,318491,38664
282,1255879,16039,252890,925853,643,287062,236001,401462,38664
283,1209534,15634,283554,851076,625,244698,277305,327617,38664
284,1053528,13386,221895,766824,456,246809,209086,309376,38664
285,1055953,17677,270113,705946,764,249106,183656,271808,38664
286,985713,13716,233105,684515,666,247022,164658,271560,38664
287,1044784,11756,228783,758370,643,254075,205008,298147,38664
288,1017413,11368,218504,736870,468,246514,181108,308042,38664
289,1138975,11380,205564,880145,555,246229,283575,349014,38664
290,1533392,16163,263797,1191257,793,250779,467832,470746,38664
291,1134630,21745,277017,742093,716,235377,210954,293911,38664
292,1142017,21137,302184,743776,712,354003,156609,231394,38664
293,1131950,15093,250859,799523,722,239758,263242,294786,38664
294,881760,15875,229422,580008,406,178144,169835,230635,38664
295,860421,16543,199376,588820,456,187141,131287,269239,38664
296,675126,9803,133599,497188,210,184112,120303,192174,38664
297,650429,6959,120881,497254,179,201559,110803,184302,38664
298,1094306,6460,126642,937483,292,177692,245729,512994,38664
