iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
161,5638073,86248,3683527,1529573,9136,794738,259965,462176,38664
162,5450026,72234,3377765,1663054,5875,752398,339217,561998,38664
163,6258260,86751,3795505,1970995,5725,750881,261571,948683,38664
164,6069686,88996,3909133,1697950,6215,891437,252919,543210,38664
165,5990216,101840,4051597,1398571,6376,872077,247322,268554,38664
166,4965351,68992,3108359,1474077,3553,831010,277790,358348,38664
167,6797471,92598,4528776,1807283,5044,943707,320277,533842,38664
168,5734683,89935,3733658,1537494,6242,845639,313369,368554,38664
169,6958385,87978,4440194,2036980,5640,1027087,519039,480362,38664
170,6919598,90254,4471729,1925334,5945,1017651,414691,482240,38664
171,6310501,91694,4101502,1682748,4747,936559,341280,396523,38664
172,6068901,75545,4081952,1585036,5364,901833,285842,389147,38664
173,6441180,89180,4457621,1536166,4665,880283,336170,310597,38664
174,6145448,99630,4268137,1453223,4545,920920,306731,218037,38664
175,5150905,69629,3404653,1331694,5557,777167,316716,229374,38664
176,5067075,69580,3267555,1422626,5124,915933,255316,243545,38664
177,5370411,65213,3166154,1836513,3972,1003900,305092,520740,38664
178,6630071,87531,4404162,1806270,5529,914005,310293,571743,38664
179,6663389,139324,4539526,1523466,5303,891709,247722,374474,38664
180,5415261,74839,3368069,1621565,4678,864466,481147,267859,38664
181,6094845,84002,4123650,1487634,6554,799129,311230,366347,38664
182,5599565,79225,3553882,1636104,5240,930049,359582,338006,38664
183,5489850,80189,3567234,1466071,5029,831944,265454,361000,38664
184,6226569,84907,4310168,1462990,5879,905765,331782,215813,38664
185,5790940,81229,3521788,1820790,5052,861210,387304,564388,38664
186,5543741,99621,3644419,1466278,4583,844901,277349,335953,38664
187,6005659,77085,3681379,1831226,6045,1112090,281784,426899,38664
188,6738762,114529,4596267,1631324,5912,843407,365854,412475,38664
189,6847246,95538,4595021,1747993,6302,978145,321719,436961,38664
190,6953665,96985,4823541,1599899,5971,908998,331764,348862,38664
191,5340916,88615,3362836,1518244,5976,793142,339410,375791,38664
192,6743737,81155,4712309,1593697,5200,993103,278732,312522,38664
193,6053611,79827,4162238,1488599,5603,808672,225087,445641,38664
194,7091400,103169,4690313,1859618,5674,1019656,326940,502792,38664
195,6656002,86489,4533141,1660271,5409,1054630,344316,252175,38664
196,4899549,72666,3271411,1242920,4253,787711,232656,215346,38664
197,6766338,86704,3865967,2404902,7313,1418573,609200,365148,38664
198,6236533,101980,4257169,1438679,5520,870100,247525,312005,38664
199,5531072,79168,3520094,1550501,4498,966618,287037,288609,38664
200,5465230,74387,3555808,1491054,5325,917868,264986,299532,38664
201,4884400,83247,3273932,1133211,5494,698495,197985,228667,38664
202,4102987,60486,2766857,998279,18109,648454,148575,180093,38664
